start_node,end_node,edge_id,start_long,start_lat,end_long,end_lat
334649851,2866714638,334649851->2866714638,114.1615949,22.3151686,114.1616408,22.3149678
334649851,2866714639,334649851->2866714639,114.1615949,22.3151686,114.1616921,22.3149748
334649852,334649851,334649852->334649851,114.1612327,22.3160865,114.1615949,22.3151686
334650236,11104980140,334650236->11104980140,114.1608166,22.3150543,114.1607218,22.3152951
334650280,2866714635,334650280->2866714635,114.1618073,22.3140341,114.1618081,22.3139208
334650280,2866714634,334650280->2866714634,114.1618073,22.3140341,114.1618414,22.3139195
334650313,339053515,334650313->339053515,114.1619321,22.3117592,114.1619431,22.3116768
334650313,339053461,334650313->339053461,114.1619321,22.3117592,114.1619235,22.3116788
334650570,1172166386,334650570->1172166386,114.1647058,22.3122174,114.1646604,22.3124287
334650572,334650573,334650572->334650573,114.1650627,22.3121884,114.1651735,22.3121564
334650573,334650574,334650573->334650574,114.1651735,22.3121564,114.1657746,22.3122553
334650574,9125470648,334650574->9125470648,114.1657746,22.3122553,114.1662447,22.3123318
334650575,1168315927,334650575->1168315927,114.166525,22.3123846,114.1666513,22.3124051
334650654,9125470651,334650654->9125470651,114.1661349,22.3121611,114.1662713,22.3121883
334650656,1172166367,334650656->1172166367,114.1647577,22.3119309,114.1648646,22.3119507
334650656,7553815435,334650656->7553815435,114.1647577,22.3119309,114.1647384,22.3120485
334650891,6370217679,334650891->6370217679,114.160067,22.3188782,114.1601599,22.3186782
334650892,334650893,334650892->334650893,114.1603534,22.3182162,114.1605701,22.3176945
334650893,4501965605,334650893->4501965605,114.1605701,22.3176945,114.1606513,22.3175047
334651132,334648722,334651132->334648722,114.1606875,22.3146074,114.1606026,22.3148632
334651133,11105007273,334651133->11105007273,114.1604487,22.3153157,114.1600642,22.3164426
334651141,11104975391,334651141->11104975391,114.1599097,22.3168278,114.1598721,22.3169264
334652029,11104980139,334652029->11104980139,114.1607263,22.3158195,114.1608509,22.3155016
334652030,11104980143,334652030->11104980143,114.1610714,22.3149391,114.1611633,22.3146636
334652032,11104980146,334652032->11104980146,114.1613196,22.3140544,114.1613689,22.3138639
334652032,13156797954,334652032->13156797954,114.1613196,22.3140544,114.1612581,22.3140403
334652032,11104977106,334652032->11104977106,114.1613196,22.3140544,114.1614462,22.3140774
334652033,2861669108,334652033->2861669108,114.1614072,22.3137136,114.161526,22.3131116
334652034,334652035,334652034->334652035,114.1616414,22.3122167,114.1616739,22.311656
334652035,334652036,334652035->334652036,114.1616739,22.311656,114.161678,22.3113728
334652036,334652037,334652036->334652037,114.161678,22.3113728,114.1616751,22.3111653
334652037,334652038,334652037->334652038,114.1616751,22.3111653,114.1616707,22.3107982
334652038,339053444,334652038->339053444,114.1616707,22.3107982,114.1616483,22.3103197
339050813,8766021731,339050813->8766021731,114.1606471,22.3104228,114.1606297,22.3105071
339050887,13380795766,339050887->13380795766,114.160486,22.311456,114.1605237,22.3116293
339050888,339050889,339050888->339050889,114.1606642,22.3118865,114.1607049,22.3119463
339050889,339050890,339050889->339050890,114.1607049,22.3119463,114.1607331,22.3119808
339050890,339050891,339050890->339050891,114.1607331,22.3119808,114.1607904,22.3120531
339050891,339050892,339050891->339050892,114.1607904,22.3120531,114.1608834,22.3121589
339050892,13380795764,339050892->13380795764,114.1608834,22.3121589,114.1609619,22.3122239
339050893,2861669105,339050893->2861669105,114.1610573,22.3122932,114.1611884,22.3123655
339050894,12736382915,339050894->12736382915,114.1615613,22.3124765,114.1616921,22.312469
339050894,339050895,339050894->339050895,114.1615613,22.3124765,114.1616987,22.312498
339050895,13380795771,339050895->13380795771,114.1616987,22.312498,114.1618218,22.3125116
339050896,339050897,339050896->339050897,114.1619448,22.3125146,114.1620507,22.312507
339050897,13380795772,339050897->13380795772,114.1620507,22.312507,114.1622084,22.3124844
339050898,13380755975,339050898->13380755975,114.1623436,22.3124564,114.1625014,22.3124139
339050899,339050900,339050899->339050900,114.1626663,22.3123546,114.1629874,22.3122049
339050900,6472403849,339050900->6472403849,114.1629874,22.3122049,114.1632728,22.3119953
339050900,13380755978,339050900->13380755978,114.1629874,22.3122049,114.1633018,22.3120513
339050901,2866714610,339050901->2866714610,114.1633669,22.3120254,114.1634897,22.3119746
339050902,339050903,339050902->339050903,114.1637406,22.3119053,114.1638663,22.3118886
339050903,6052450981,339050903->6052450981,114.1638663,22.3118886,114.1640032,22.3118822
339050904,13380755980,339050904->13380755980,114.1641275,22.3118896,114.1642909,22.3119054
339050905,339050906,339050905->339050906,114.1644361,22.3119353,114.1645241,22.3119596
339050906,5118308277,339050906->5118308277,114.1645241,22.3119596,114.1646921,22.3119962
339050906,13380755991,339050906->13380755991,114.1645241,22.3119596,114.1647693,22.3120501
339050907,13380755990,339050907->13380755990,114.1650995,22.3121624,114.1652996,22.3122219
339050908,339050909,339050908->339050909,114.1656416,22.3123007,114.1658132,22.3123323
339050909,13380755989,339050909->13380755989,114.1658132,22.3123323,114.1662507,22.3124016
