u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
288991222,13591799744,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,11.243719986553876,,,,,,,,,"LINESTRING (114.1659129 22.3133097, 114.165825 22.3132496)",edge,1,True,0.0,,0.2870122994475572
288991222,1962191597,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,13.6505127695318,,,,,,,,,"LINESTRING (114.1659129 22.3133097, 114.1660052 22.3133979)",edge,1,True,0.0,,1.0260202750300105
288991223,5118308283,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,9.32161767035349,,,,,,,,,"LINESTRING (114.1634772 22.3129229, 114.1634147 22.3129836)",edge,1,True,0.0,,1.163727749027186
288991223,5118308286,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,7.478986768202995,,,,,,,,,"LINESTRING (114.1634772 22.3129229, 114.163535 22.3128821)",edge,1,True,0.0,,-1.1298578267457513
288991224,8396898511,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,12.694157956017944,,,,,,,,,"LINESTRING (114.1629553 22.3140306, 114.1629103 22.3141369)",edge,1,True,0.0,,1.5906844829919904
288991224,6176152883,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,30.76245756484928,,,,,,,,,"LINESTRING (114.1629553 22.3140306, 114.1630607 22.3137717)",edge,1,True,0.0,,-16.83424752473102
288991224,6277201384,185564147,service,,,False,False,6.950060882005622,,,,,,,,,"LINESTRING (114.1629553 22.3140306, 114.1630187 22.3140522)",edge,0,False,0.0,,-3.6308927452676776
288991653,3230273859,947001196,junction,,油麻地交匯處 Yau Ma Tei Interchange,False,False,79.09684521591088,interchange,,,,,,,,"LINESTRING (114.1663312 22.312459, 114.1655791 22.3123111)",edge,4,True,0.0,,-2.4541999457831594
288991653,13156797946,947001196,junction,,油麻地交匯處 Yau Ma Tei Interchange,False,True,9.31059524096297,interchange,,,,,,,,"LINESTRING (114.1663312 22.312459, 114.1663423 22.3123759)",edge,4,True,0.0,,0.6249860379630443
288991681,6176166200,644821243,unclassified,2.0,巧翔街 Hau Cheung Street,False,False,9.896658232993992,,,,,,,,,"LINESTRING (114.1660122 22.3115988, 114.1660266 22.3115108)",edge,0,False,0.0,,-0.8783000049824398
